interatomic distance(nm), energy(K), force(nN), time elapsed
0.373764006385, -125.604283299035, -11.443717798950, 0.0747
0.373832181252, -125.611921285663, -10.963628295178, 0.0750
0.373900850121, -125.619284375827, -10.481881601304, 0.0753
0.373969991288, -125.626364513132, -9.998662630594, 0.0756
0.374039582978, -125.633154054780, -9.514154478802, 0.0759
0.374109603363, -125.639645777512, -9.028538335546, 0.0762
0.374180030560, -125.645832882853, -8.541993399965, 0.0765
0.374250842649, -125.651709001658, -8.054696800680, 0.0768
0.374322017672, -125.657268197980, -7.566823520035, 0.0771
0.374393533647, -125.662504972252, -7.078546322626, 0.0774
0.374465368575, -125.667414263801, -6.590035688065, 0.0777
0.374537500444, -125.671991452712, -6.101459747988, 0.0780
0.374609907240, -125.676232361032, -5.612984227244, 0.0783
0.374682566953, -125.680133253349, -5.124772389239, 0.0786
0.374755457587, -125.683690836744, -4.636984985379, 0.0789
0.374828557162, -125.686902260142, -4.149780208576, 0.0792
0.374901843728, -125.689765113059, -3.663313650736, 0.0795
0.374975295363, -125.692277423786, -3.177738264191, 0.0798
0.375048890191, -125.694437656997, -2.693204326989, 0.0801
0.375122606379, -125.696244710820, -2.209859411980, 0.0804
0.375196422149, -125.697697913383, -1.727848359619, 0.0807
0.375270315782, -125.698797018840, -1.247313254414, 0.0810
0.375344265627, -125.699542202913, -0.768393404924, 0.0813
0.375418250105, -125.699934057958, -0.291225327232, 0.0816
0.375492247715, -125.699973587569, 0.184057268202, 0.0819
0.375566237044, -125.699662200756, 0.657323486392, 0.0822
0.375640196766, -125.699001705695, 1.128445254481, 0.0825
0.375714105654, -125.697994303082, 1.597297325294, 0.0828
0.375787942582, -125.696642579111, 2.063757277881, 0.0831
0.375861686534, -125.694949498088, 2.527705515153, 0.0834
0.375935316604, -125.692918394699, 2.989025258709, 0.0837
0.376008812006, -125.690552965963, 3.447602540953, 0.0840
0.376082152079, -125.687857262878, 3.903326194604, 0.0843
0.376155316287, -125.684835681780, 4.356087839695, 0.0846
0.376228284232, -125.681492955440, 4.805781868176, 0.0849
0.376301035650, -125.677834143910, 5.252305426200, 0.0852
0.376373550422, -125.673864625143, 5.695558394221, 0.0855
0.376445808577, -125.669590085398, 6.135443364978, 0.0858
0.376517790294, -125.665016509453, 6.571865619484, 0.0861
0.376589475908, -125.660150170643, 7.004733101119, 0.0864
0.376660845916, -125.654997620739, 7.433956387907, 0.0867
0.376731880977, -125.649565679681, 7.859448663103, 0.0870
0.376802561921, -125.643861425191, 8.281125684163, 0.0873
0.376872869747, -125.637892182267, 8.698905750205, 0.0876
0.376942785630, -125.631665512595, 9.112709668053, 0.0879
0.377012290926, -125.625189203872, 9.522460716953, 0.0882
0.377081367172, -125.618471259065, 9.928084612053, 0.0885
0.377149996091, -125.611519885625, 10.329509466743, 0.0888
0.377218159597, -125.604343484660, 10.726665753931, 0.0891
0.377285839793, -125.596950640090, 11.119486266348, 0.0894
0.377353018981, -125.589350107780, 11.507906075967, 0.0897
0.377419679658, -125.581550804693, 11.891862492608, 0.0900
0.377485804525, -125.573561798039, 12.271295021825, 0.0903
0.377551376485, -125.565392294467, 12.646145322130, 0.0906
0.377616378648, -125.557051629275, 13.016357161656, 0.0909
0.377680794332, -125.548549255684, 13.381876374311, 0.0912
0.377744607069, -125.539894734161, 13.742650815498, 0.0915
0.377807800603, -125.531097721809, 14.098630317484, 0.0918
0.377870358892, -125.522167961833, 14.449766644467, 0.0921
0.377932266117, -125.513115273096, 14.796013447415, 0.0924
0.377993506676, -125.503949539761, 15.137326218737, 0.0927
0.378054065190, -125.494680701037, 15.473662246849, 0.0930
0.378113926504, -125.485318741033, 15.804980570692, 0.0933
0.378173075689, -125.475873678728, 16.131241934247, 0.0936
0.378231498045, -125.466355558061, 16.452408741124, 0.0939
0.378289179101, -125.456774438148, 16.768445009257, 0.0942
0.378346104616, -125.447140383636, 17.079316325757, 0.0945
0.378402260584, -125.437463455189, 17.384989801983, 0.0948
0.378457633230, -125.427753700129, 17.685434028860, 0.0951
0.378512209018, -125.418021143211, 17.980619032500, 0.0954
0.378565974647, -125.408275777561, 18.270516230164, 0.0957
0.378618917054, -125.398527555766, 18.555098386596, 0.0960
0.378671023418, -125.388786381126, 18.834339570785, 0.0963
0.378722281155, -125.379062099065, 19.108215113175, 0.0966
0.378772677925, -125.369364488713, 19.376701563361, 0.0969
0.378822201631, -125.359703254652, 19.639776648307, 0.0972
0.378870840419, -125.350088018835, 19.897419231117, 0.0975
0.378918582680, -125.340528312681, 20.149609270384, 0.0978
0.378965417051, -125.331033569337, 20.396327780144, 0.0981
0.379011332415, -125.321613116121, 20.637556790471, 0.0984
0.379056317902, -125.312276167147, 20.873279308723, 0.0987
0.379100362892, -125.303031816117, 21.103479281469, 0.0990
0.379143457011, -125.293889029305, 21.328141557130, 0.0993
0.379185590137, -125.284856638712, 21.547251849329, 0.0996
0.379226752397, -125.275943335407, 21.760796700993, 0.0999
0.379266934170, -125.267157663045, 21.968763449212, 0.1002
0.379306126083, -125.258508011570, 22.171140190878, 0.1005
0.379344319019, -125.250002611099, 22.367915749114, 0.1008
0.379381504111, -125.241649525982, 22.559079640512, 0.1011
0.379417672746, -125.233456649048, 22.744622043193, 0.1014
